EXPERT_ID,NAME,ALIAS,CHANNEL_NAME,CHANNEL_URL,SUBSCRIBERS_EST,STANCE_GROUP,STANCE_BASE_SCORE,METHODOLOGY,CORE_THEME,KEYWORDS
EXP_01,김학렬,빠숑,스마트튜브 [스튜TV],https://www.youtube.com/@smarttubetv,520000,Strong Bull (영구 우상향/입지론),1.8,"현장 임장, 입지 분석, 일자리·학군 인프라 가치평가","서울 핵심지 불패, 신축 프리미엄, 똘똘한 한 채 집중","입지, 똘똘한 한 채, 서울 신축, 인프라, 갈아타기, 희소성, 우상향"
EXP_02,이상우,이상우 대표,이상우의 부동산 라이프 / 인베이드투자자문,https://www.youtube.com/@invaid,280000,Strong Bull (핵심지 공급부족론),1.9,"소득 분위별 구매력, 고소득 일자리 증가, 서울 순공급 감소 계량화","소득 증가율 상회하는 서울 아파트 가격, 규제로 인한 공급 부족이 폭등 초래","고소득, 서울 공급부족, 정비사업 규제, 강남3구, 마용성, 평당 1억"
EXP_03,정태익,부읽남,부읽남TV_내집마련부터건물주까지,https://www.youtube.com/@buiknam,1380000,Bull / Practical (실전투자/인플레이션 헷지),1.4,"화폐가치 하락(인플레이션), 대출 레버리지, 실거주 1채 필수론","무주택자는 벼락거지, 집은 살 수 있을 때 무조건 사야 한다","인플레이션, 화폐가치, 무주택, 내집마련, 레버리지, 갈아타기"
EXP_04,너나위 (김민규),너나위,월급쟁이부자들TV,https://www.youtube.com/@weolbu,1650000,Bull / Value (저평가 가치투자/전세가율 기반),1.2,"전세가율 및 매매가 갭 분석, 입지 급지별 저평가 단지 전수조사","잃지 않는 부동산 투자, 전세가가 받쳐주는 저평가 단지 분산 매수","전세가율, 저평가, 급지, 잃지않는투자, 갭투자, 실거주, 내집마련"
EXP_05,강승우,삼토시,삼토시의 부동산노트 (삼프로TV 고정),https://www.youtube.com/@3protv,350000,Cyclical Bull (데이터 입주물량 수급론),1.0,"서울/수도권 멸실량 대비 입주물량, 전세가율 사이클, 5~7년 중기 파동",2022년 일시 조정 후 2024~2026년 역사적 공급절벽에 따른 2차 대세상승,"입주물량, 멸실, 공급절벽, 사이클, 전세가율, 2024 대세상승"
EXP_06,박원갑,박원갑 수석위원,KB부동산 / 삼프로TV / 한국경제TV,https://www.youtube.com/@KB_RealEstate,450000,Moderate Data (거시경제/심리/제도 분석),0.2,"금리·대출 규제 스트레스 테스트, 베이비부머 자산 포트폴리오, 시장 심리지수","영끌 자제, 금리와 대출 한도가 결정하는 시장, 양극화와 프롭테크","금리, 대출규제, 패닉바잉 자제, 베이비부머, 분할매수, 양극화"
EXP_07,고종완,고종완 원장,한국자산관리연구원 / 고종완TV,https://www.youtube.com/@user-kjw,180000,Bull / Growth (슈퍼부동산/거점성장론),1.3,"도시계획 공간구조, 용산/강남 마스터플랜, 인구/인프라 결합 성장가치","살(Live) 집과 살(Buy) 집의 결합, 성장거점 중심 장기 보유","슈퍼부동산, 용산개발, 거점성장, 지가상승, 미래가치, 국토종합계획"
EXP_08,이광수,이광수 위원,광수네 복덕방,https://www.youtube.com/@kwangsoone,360000,Bear / Cyclical (거래량/가격괴리 분석),-1.2,"매도호가 vs 매수호가 괴리율, 거래량 급감 선행성, 가계부채 상환부담","2021년 영끌 경고 및 하락장 적중, 거래량 없는 반등은 가짜(데드캣), 바닥은 거래량 폭발 시점","거래량, 가격괴리, 영끌주의, 데드캣바운스, 매도물량, 가계부채, 바닥신호"
EXP_09,채상욱,채상욱 애널리스트,채상욱TV / 커넥티드그라운드,https://www.youtube.com/@chaesangwook,320000,Analyst / Swing (정책·원가·미분양 밸류에이션),-0.3,"건축 원가(공사비) 인상, 분양가 상한제 해제 효과, 정책금융(특례/신생아) 수급",2022 하락 적중 -> 2023 특례보금자리론 반등 포착 -> 2024 상급지 차별화 및 비아파트 붕괴 분석,"공사비, 분양가, 정책금융, 특례대출, 전세가율, 상급지 차별화, 정비사업"
EXP_10,한문도,한문도 교수,한문도TV,https://www.youtube.com/@hanmoondo,310000,Strong Bear (구조적 거품 붕괴론),-1.9,"PIR(소득대비 주택가격), HAI(주택구입부담지수), 전세사기/깡통전세 리스크, PF 부실","소득 대비 비정상적 거품, 30~50% 폭락 불가피, 건설사/금융권 연쇄 부실 경고","PIR, 주택부담지수, 30~50% 폭락, 깡통전세, 전세사기, 건설사부도, 영끌파산"
EXP_11,라이트하우스,라이트하우스,라이트하우스,https://www.youtube.com/@lighthouse_kr,610000,Strong Bear (영구 하락/폰지사기론),-2.0,"인구 감소 및 고령화, 가계부채 한계, 유동성 거품 붕괴, 실질소득 감소","부동산은 폰지사기, 2015년 이전 가격으로 대폭락, 영끌족의 최후","대폭락, 폰지사기, 인구절벽, 빚더미, 영끌의최후, 2015년회귀, 거품붕괴"
