POLICY_ID,DATE,ADMINISTRATION,TITLE,TYPE,STANCE_SCORE,REGIONS,KEY_MEASURES,LTV_DTI,TAXATION,IMPACT_SUMMARY
POL_2018_01,2018-08-27,문재인 정부,수도권 주택공급 확대 및 투기지역 추가 지정,규제+공급,-1.0,"서울 종로·중구·동작·동대문 투기지역 추가, 수도권 30곳 신규택지 발굴",투기지역 추가 지정 및 수도권 30만호 공급 계획 착수,투기지역 주담대 1건 제한(LTV 40%),해당 없음,서울 외곽 및 수도권 풍선효과 차단 시도
POL_2018_02,2018-09-13,문재인 정부,9.13 주택시장 안정대책,초강력 규제,-2.0,조정대상지역 및 투기과열지구 전역,"종합부동산세 최고세율 3.2% 인상, 다주택자 규제지역 신규 주담대 전면 금지, 1주택자 예외적 대출만 허용(처분조건부)","다주택자 LTV 0%, 1주택자 2년내 처분조건부 LTV 40%","종부세 과표 3~6억 구간 신설, 3주택 이상자/조정대상지역 2주택자 세부담 상한 300% 상향",2018년 하반기~2019년 상반기 서울 아파트 가격 일시적 조정 및 거래 침체 유발
POL_2018_03,2018-12-19,문재인 정부,2차 수도권 주택공급 계획 및 광역교통망 개선방안 (3기 신도시 1차),공급,0.5,"남양주 왕숙, 하남 교산, 인천 계양, 과천",3기 신도시 12.2만호 입지 발표 및 GTX A·B·C 등 수도권 광역교통망 확충,해당 없음,해당 없음,"수도권 중장기 공급 청사진 제시, GTX 수혜 지역 기대감 상승"
POL_2019_01,2019-05-07,문재인 정부,3차 신규택지 추진계획 (3기 신도시 2차),공급,0.5,"고양 창릉, 부천 대장 등 11만호",3기 신도시 30만호 입지 확정 완료,해당 없음,해당 없음,고양 일산 등 1기 신도시 주민 반발 및 공급 심리적 안정 유도
POL_2019_02,2019-11-06,문재인 정부,민간택지 분양가 상한제 적용지역 지정,규제,-1.5,"서울 27개 동 (강남4구 및 마용성, 영등포 등)","민간택지 분양가 상한제 핀셋 지정, 정비사업 분양가 통제",해당 없음,해당 없음,신축 아파트 희소성 부각에 따른 기축 신고가 행진 ('로또 청약' 및 신축 쏠림)
POL_2019_03,2019-12-16,문재인 정부,12.16 주택시장 안정화 방안,초강력 규제,-2.0,투기과열지구 및 전국,"시가 15억원 초과 아파트 주담대 전면 금지, 9억원 초과분 LTV 20% 차등 축소, DSR 40% 규제 도입, 종부세 세율 추가 인상, 분상제 대상지 서울 전역 확대","15억 초과 LTV 0%, 9억 초과 구간 LTV 20%","종부세율 0.1~0.8%p 인상, 공시가격 현실화율 제고, 양도세 장특공제 거주요건 추가","초고가 아파트 대출 완전 차단 및 9억 이하 중저가(수·용·성, 노·도·강) 갭메우기 폭등 촉발"
POL_2020_01,2020-02-20,문재인 정부,2.20 주택시장 안정 관리방안,규제,-1.0,"수원 영통·권선·장안, 안양 만안, 의왕 등",조정대상지역 추가 지정 및 LTV 50%로 강화,"조정대상지역 9억 이하 50%, 9억 초과 30%",해당 없음,수용성 풍선효과 진화 시도
POL_2020_02,2020-06-17,문재인 정부,6.17 주택시장 안정을 위한 관리방안,초강력 규제,-2.0,"수도권 전역 규제지역 지정, 송파 잠실/강남 삼성·청담·대치 토지거래허가구역 지정","법인 주택 취득 및 보유세(종부세 3~4% 단일세율) 징벌적 과세, 갭투자 차단(전세대출 회수 규제), 토지거래허가구역 지정(실거주 의무)",규제지역 내 주담대 시 6개월 내 전입 의무,"법인 종부세 기본공제 6억원 폐지, 최고 단일세율 3~4% 적용","법인 매물 유도, 패닉바잉 심화 및 규제 빗겨간 비규제지역(김포, 파주 등) 2차 풍선효과"
POL_2020_03,2020-07-10,문재인 정부,7.10 주택시장 안정 보완대책,초강력 세제 규제,-2.0,전국 다주택자/단기보유자,"다주택자 취득세 최대 12% 중과, 종부세 최고세율 6.0% 중과, 1년 미만 단기보유 양도세율 70% 인상, 임대등록제도 사실상 폐지",해당 없음,"취득세(1주택 1~3%, 2주택 8%, 3주택 12%), 종부세(최대 6.0%), 양도세 중과(기본세율 + 20~30%p)","매물 잠김(Lock-in effect) 극대화, 증여 폭증, '똘똘한 한 채' 쏠림 심화"
POL_2020_04,2020-07-31,문재인 정부,임대차 3법 국회 본회의 통과 및 전격 시행,임대차 규제,-2.0,전국 주택 임대차 시장,"계약갱신청구권(2+2년), 전월세상한제(5% 캡), 전월세신고제 즉시 시행",해당 없음,해당 없음,"전세 매물 급감, 전셋값 폭등(전세 이중가격 형성), 전세가 상승이 매매가 밀어올리는 악순환 발생"
POL_2020_05,2020-08-04,문재인 정부,8.4 서울권역 등 수도권 주택공급 확대방안,공급,0.5,"서울 및 수도권 (태릉CC, 용산정비창, 공공재개발)",총 13.2만호 신규 부지 및 공공참여형 고밀재건축 도입,해당 없음,해당 없음,지자체/주민 반발로 실제 공급 속도 지연
POL_2021_01,2021-02-04,문재인 정부,2.4 공공주도 3080+ 대도시권 주택공급 대책,초대형 공급 대책,1.0,서울 32만호 등 전국 83.6만호,"도심공공주택 복합사업, 공공 직접시행 정비사업 도입, 우선공급권(현금청산) 기준일 설정",해당 없음,해당 없음,현금청산 우려로 빌라/구도심 매수 심리 일시 위축
POL_2021_02,2021-10-26,문재인 정부,가계부채 관리 강화방안 (차주단위 DSR 조기시행),금융 규제,-1.5,전국 금융권,"차주단위 DSR 40% 2단계 조기 시행(총대출 2억 초과), 제2금융권 DSR 50% 축소",DSR 40% 전면 확대 적용,해당 없음,"유동성 파티 마감 신호, 대출 한도 급감으로 매수세 급격 둔화"
POL_2022_01,2022-05-10,윤석열 정부,다주택자 양도세 중과 1년 한시 배제,완화,1.0,전국 조정대상지역,다주택자 양도소득세 중과 배제 및 보유 2년 이상 시 일반세율 적용,해당 없음,"양도세 중과(기본세율+20~30%p) 1년간 유예, 장특공제 최대 30% 적용","다주택자 급매물 출회 유도, 하락장 진입과 맞물려 매물 증가"
POL_2022_02,2022-11-10,윤석열 정부,서울 및 연접 4곳 제외 규제지역 전면 해제 및 15억 초과 대출 허용,대규모 완화,1.5,"수도권 대부분 및 지방 전역 해제, 서울 및 과천·성남(분당·수정)·하남·광명만 유지","15억 초과 아파트 주담대 허용(LTV 50%), 무주택자/1주택자 LTV 50% 일원화",15억 초과 금지 폐지 -> LTV 50% 허용,규제지역 해제에 따른 2주택 취득세/양도세 중과 해제,경착륙 방어 조치 가동
POL_2023_01,2023-01-03,윤석열 정부,1.3 부동산 대책 (대규모 규제 완화),초대형 규제 완화,2.0,강남3구(강남·서초·송파) 및 용산구를 제외한 전 지역 규제지역 해제,"민간택지 분양가상한제 해제, 전매제한 최대 10년->1~3년 완화, 실거주의무 폐지 추진, 중도금 대출 보증 분양가 제한 폐지, 무순위 청약 유주택자 허용","비규제지역 LTV 70%, 다주택자 주담대 허용(LTV 60%)","종부세 기본공제 9억(1주택 12억) 상향, 다주택 중과세율 대폭 인하","2022년 말 폭락세 멈춤, 서울 주요 단지 1차 바닥 반등의 결정적 트리거"
POL_2023_02,2023-01-30,윤석열 정부,특례보금자리론 40조원 전격 공급,금융 지원/유동성,1.5,전국 9억원 이하 주택,"소득 무관 9억원 이하 주택에 최대 5억원 4%대 고정금리 대출 (DSR 미적용, DTI 60% 적용)","DSR 제외, LTV 최대 70%(생애최초 80%)",해당 없음,9억원 이하 중저가 아파트 거래량 폭발 및 2023년 상반기 전국적 반등 견인
POL_2023_03,2023-09-26,윤석열 정부,9.26 주택공급 활성화 방안,공급 및 금융,0.5,전국 주택시장 및 건설업계,"부동산 PF 보증 확대(25조원), 3기 신도시 3만호 이상 추가 확충, 비아파트 규제 완화",특례보금자리론 일반형(6~9억) 조기 중단,해당 없음,부동산 PF 부실 차단 및 유동성 속도 조절
POL_2024_01,2024-01-10,윤석열 정부,1.10 주택공급 확대 및 건설경기 보완방안,완화+공급,1.5,노후 정비구역 및 소형 비아파트,"준공 30년 이상 안전진단 통과 전 재건축 착수 허용(패스트트랙), 소형 신축주택(빌라·오피스텔) 취득세/양도세/종부세 주택수 제외",해당 없음,향후 2년간 준공 소형 신축 비아파트 원시취득세 최대 50% 감면 및 세제상 주택수 제외,"재건축 추진 기대감 고조, 빌라 전세사기 여파 회복 시도"
POL_2024_02,2024-01-29,윤석열 정부,신생아 특례대출 출시,금융 지원,1.5,전국 9억원 이하 주택 (전용 85㎡ 이하),2년 내 출산 무주택 가구 대상 1.6~3.3% 초저금리 주담대 최대 5억원 지원 (DSR 미적용),"LTV 70%(생애최초 80%), DTI 60%, DSR 미적용",해당 없음,서울·수도권 9억 이하 아파트 거래량 급증 및 갈아타기 연쇄 상승 유발
POL_2024_03,2024-08-08,윤석열 정부,8.8 주택공급 확대방안,대규모 공급 대책,0.5,서울 및 서울 인근 수도권 그린벨트,"서울 및 수도권 그린벨트 해제 총 8만호 신규택지 확보, 빌라/비아파트 신축 무제한 매입임대, 정비사업 특례법 제정(재건축 단축)",해당 없음,해당 없음,"12년 만의 서울 그린벨트 해제 발표, 중장기 심리적 공급 안정 유도"
POL_2024_04,2024-09-01,윤석열 정부,스트레스 DSR 2단계 시행 및 가계대출 조이기,금융 규제,-1.5,전국 및 특히 수도권,"수도권 주담대 스트레스 가산금리 1.2%p 적용, 은행권 자율 대출규제(1주택자 수도권 주담대 제한, 전세대출 제한)",수도권 주담대 한도 약 8~12% 축소,해당 없음,"2024년 여름 서울 아파트 급등세 제동, 거래량 감소 및 관망세 전환"
POL_2025_01,2025-07-01,윤석열 정부,스트레스 DSR 3단계 전면 시행,금융 규제,-1.5,전국 전 금융권 전 대출,"은행권 및 제2금융권, 신용대출 및 기타대출 포함 스트레스 DSR 100% 반영",차주별 총대출 한도 추가 축소,해당 없음,"레버리지 활용 극도 제약, 실수요 및 현금 부자 중심의 초양극화 장세 고착"
POL_2026_01,2026-03-15,윤석열 정부,3기 신도시 본청약 및 입주 로드맵 안착,공급 안착,0.5,"인천 계양, 고양 창릉, 남양주 왕숙, 하남 교산","3기 신도시 선도지구 본청약 및 첫 입주 개시, 수도권 서북부/동북부 실물 공급 본격화",해당 없음,해당 없음,수도권 전월세 분산 및 입주 물량에 따른 국지적 전세가 안정
