PRED_ID,EXPERT_ID,STATEMENT_DATE,EPISODE,VIDEO_TITLE,TARGET_REGION,TARGET_HORIZON,PREDICTED_STANCE,NUMERIC_STANCE,TARGET_ASSET_TYPE,KEY_WORDING,CORE_LOGIC,STATEMENT_YM,INDEX_AT_STATEMENT,INDEX_AFTER_12M,RETURN_12M_PCT,ACCURACY_HIT_12M,SCORE
PR_EXP_01_01,EXP_01,2018-10-15,Phase 1 (2018~2019),[빠숑] 2018년 Phase 1 (2018~2019) 부동산 전망: 대세 상승 / 신고가 행진!,서울 핵심지 (강남/마용성),1년 (12M),대세 상승 / 신고가 행진,1.9,아파트 매매/전세,"현재 시장은 서울 핵심지 불패, 신축 프리미엄, 똘똘한 한 채 집중 관점에서 분석해야 합니다. 대세 상승 / 신고가 행진 흐름이 나타날 것이며 서울 핵심지 (강남/마용성)을 주목해야 합니다.","현장 임장, 입지 분석, 일자리·학군 인프라 가치평가에 기반한 대세 상승 / 신고가 행진 예측",201810,74.9603279737506,73.1124430737529,-2.47,0.0,55.6
PR_EXP_01_02,EXP_01,2020-09-20,Phase 2 (2020~2021),[빠숑] 2020년 Phase 2 (2020~2021) 부동산 전망: 대세 상승 / 신고가 행진!,서울 핵심지 (강남/마용성),1년 (12M),대세 상승 / 신고가 행진,1.9,아파트 매매/전세,"현재 시장은 서울 핵심지 불패, 신축 프리미엄, 똘똘한 한 채 집중 관점에서 분석해야 합니다. 대세 상승 / 신고가 행진 흐름이 나타날 것이며 서울 핵심지 (강남/마용성)을 주목해야 합니다.","현장 임장, 입지 분석, 일자리·학군 인프라 가치평가에 기반한 대세 상승 / 신고가 행진 예측",202009,75.8803065537168,82.1303925083236,8.24,1.0,89.9
PR_EXP_01_03,EXP_01,2022-08-15,Phase 3 (2022),[빠숑] 2022년 Phase 3 (2022) 부동산 전망: 일시 조정 후 강력 반등!,서울 핵심지 (강남/마용성),1년 (12M),일시 조정 후 강력 반등,1.2,아파트 매매/전세,"현재 시장은 서울 핵심지 불패, 신축 프리미엄, 똘똘한 한 채 집중 관점에서 분석해야 합니다. 일시 조정 후 강력 반등 흐름이 나타날 것이며 서울 핵심지 (강남/마용성)을 주목해야 합니다.","현장 임장, 입지 분석, 일자리·학군 인프라 가치평가에 기반한 일시 조정 후 강력 반등 예측",202208,84.1680180279309,80.1411762376193,-4.78,0.0,61.7
PR_EXP_01_04,EXP_01,2023-03-20,Phase 4 (2023),[빠숑] 2023년 Phase 4 (2023) 부동산 전망: 대세 상승 / 신고가 행진!,서울 핵심지 (강남/마용성),1년 (12M),대세 상승 / 신고가 행진,1.9,아파트 매매/전세,"현재 시장은 서울 핵심지 불패, 신축 프리미엄, 똘똘한 한 채 집중 관점에서 분석해야 합니다. 대세 상승 / 신고가 행진 흐름이 나타날 것이며 서울 핵심지 (강남/마용성)을 주목해야 합니다.","현장 임장, 입지 분석, 일자리·학군 인프라 가치평가에 기반한 대세 상승 / 신고가 행진 예측",202303,78.469154068031,80.5341539038908,2.63,1.0,71.9
PR_EXP_01_05,EXP_01,2024-05-10,Phase 5 (2024~2025),[빠숑] 2024년 Phase 5 (2024~2025) 부동산 전망: 대세 상승 / 신고가 행진!,서울 핵심지 (강남/마용성),1년 (12M),대세 상승 / 신고가 행진,1.9,아파트 매매/전세,"현재 시장은 서울 핵심지 불패, 신축 프리미엄, 똘똘한 한 채 집중 관점에서 분석해야 합니다. 대세 상승 / 신고가 행진 흐름이 나타날 것이며 서울 핵심지 (강남/마용성)을 주목해야 합니다.","현장 임장, 입지 분석, 일자리·학군 인프라 가치평가에 기반한 대세 상승 / 신고가 행진 예측",202405,80.8891670862245,91.3467705450292,12.93,1.0,95.1
PR_EXP_01_06,EXP_01,2025-09-15,Phase 6 (2025~2026),[빠숑] 2025년 Phase 6 (2025~2026) 부동산 전망: 대세 상승 / 신고가 행진!,서울 핵심지 (강남/마용성),1년 (12M),대세 상승 / 신고가 행진,1.9,아파트 매매/전세,"현재 시장은 서울 핵심지 불패, 신축 프리미엄, 똘똘한 한 채 집중 관점에서 분석해야 합니다. 대세 상승 / 신고가 행진 흐름이 나타날 것이며 서울 핵심지 (강남/마용성)을 주목해야 합니다.","현장 임장, 입지 분석, 일자리·학군 인프라 가치평가에 기반한 대세 상승 / 신고가 행진 예측",202509,96.6990349668627,,,,50.0
PR_EXP_02_07,EXP_02,2018-10-15,Phase 1 (2018~2019),[이상우 대표] 2018년 Phase 1 (2018~2019) 부동산 전망: 대세 상승 / 신고가 행진!,서울 핵심지 (강남/마용성),1년 (12M),대세 상승 / 신고가 행진,1.9,아파트 매매/전세,"현재 시장은 소득 증가율 상회하는 서울 아파트 가격, 규제로 인한 공급 부족이 폭등 초래 관점에서 분석해야 합니다. 대세 상승 / 신고가 행진 흐름이 나타날 것이며 서울 핵심지 (강남/마용성)을 주목해야 합니다.","소득 분위별 구매력, 고소득 일자리 증가, 서울 순공급 감소 계량화에 기반한 대세 상승 / 신고가 행진 예측",201810,74.9603279737506,73.1124430737529,-2.47,0.0,55.6
PR_EXP_02_08,EXP_02,2020-09-20,Phase 2 (2020~2021),[이상우 대표] 2020년 Phase 2 (2020~2021) 부동산 전망: 대세 상승 / 신고가 행진!,서울 핵심지 (강남/마용성),1년 (12M),대세 상승 / 신고가 행진,1.9,아파트 매매/전세,"현재 시장은 소득 증가율 상회하는 서울 아파트 가격, 규제로 인한 공급 부족이 폭등 초래 관점에서 분석해야 합니다. 대세 상승 / 신고가 행진 흐름이 나타날 것이며 서울 핵심지 (강남/마용성)을 주목해야 합니다.","소득 분위별 구매력, 고소득 일자리 증가, 서울 순공급 감소 계량화에 기반한 대세 상승 / 신고가 행진 예측",202009,75.8803065537168,82.1303925083236,8.24,1.0,89.9
PR_EXP_02_09,EXP_02,2022-08-15,Phase 3 (2022),[이상우 대표] 2022년 Phase 3 (2022) 부동산 전망: 일시 조정 후 강력 반등!,서울 핵심지 (강남/마용성),1년 (12M),일시 조정 후 강력 반등,1.2,아파트 매매/전세,"현재 시장은 소득 증가율 상회하는 서울 아파트 가격, 규제로 인한 공급 부족이 폭등 초래 관점에서 분석해야 합니다. 일시 조정 후 강력 반등 흐름이 나타날 것이며 서울 핵심지 (강남/마용성)을 주목해야 합니다.","소득 분위별 구매력, 고소득 일자리 증가, 서울 순공급 감소 계량화에 기반한 일시 조정 후 강력 반등 예측",202208,84.1680180279309,80.1411762376193,-4.78,0.0,61.7
PR_EXP_02_10,EXP_02,2023-03-20,Phase 4 (2023),[이상우 대표] 2023년 Phase 4 (2023) 부동산 전망: 대세 상승 / 신고가 행진!,서울 핵심지 (강남/마용성),1년 (12M),대세 상승 / 신고가 행진,1.9,아파트 매매/전세,"현재 시장은 소득 증가율 상회하는 서울 아파트 가격, 규제로 인한 공급 부족이 폭등 초래 관점에서 분석해야 합니다. 대세 상승 / 신고가 행진 흐름이 나타날 것이며 서울 핵심지 (강남/마용성)을 주목해야 합니다.","소득 분위별 구매력, 고소득 일자리 증가, 서울 순공급 감소 계량화에 기반한 대세 상승 / 신고가 행진 예측",202303,78.469154068031,80.5341539038908,2.63,1.0,71.9
